tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang,source_site
"Cc bán nhà hẻm 97/ Phan Đăng Lưu Quận Phú Nhuận dt 6 x 8m dtcn 44,5m2 k/c trệt 2 lầu st giá 9 tỷ",9.0,"Phố Phan Đăng Lưu, Phường 7, Quận Phú Nhuận, Hồ Chí Minh",44.5,4,5,4,Sổ hồng,2026-03-26,batdongsan
"CÔ HOA CẦN BÁN NHÀ ĐƯỜNG LÊ HỒNG PHONG - Q10 - GIÁ: 6,77 TỶ/77,4M - THUÊ 26TR - GẦN VẠN HẠNH MALL",6.77,"Đường Lê Hồng Phong, Phường 10, Quận 10, Hồ Chí Minh",77.4,4,4,3,Sổ hồng,2026-03-28,batdongsan
56M (4x15). 3 TẦNG 2PN. 5.6T - GẦN CHỢ & TRƯỜNG HỌC - HOÀN CÔNG ĐỦ,5.59,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",56.0,3,2,3,Sổ hồng,2026-03-20,batdongsan
"(7,8 Tỷ TL) NHÀ 3 TẦNG, 1 SẸC, GẦN SÁT MẶT TIỀN BÙI THỊ XUÂN..!",7.8,"Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",31.0,2,3,3,Sổ hồng,2026-03-29,batdongsan
"NHÀ ĐẸP TÂN BÌNH-GẦN NHÀ GA T3-KHU VỰC HIẾM NHÀ BÁN 97M2-GIÁ14,5TỶ",14.5,"Đường Bàu Bàng, Phường 13, Quận Tân Bình, Hồ Chí Minh",97.0,5,3,2,Sổ hồng,2026-03-30,batdongsan
"Nhà phố 1/ Đông Bắc, hẻm 5m thông xe hơi, vị trí đẹp gần Gò Vấp. Vừa ở vừa kinh doanh cực hợp",5.6,"1/ , Đường Đông Bắc, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",54.0,3,3,3,Sổ hồng,2026-03-28,batdongsan
14tỷ2 thương lượng nhà mặt tiền nội bộ khu dân cư Cao Lỗ P4 Q8,14.2,"Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",80.0,6,4,4,Sổ hồng,2026-03-18,batdongsan
Nhà đẹp sát mặt tiền Âu Cơ - 4X15m 1 trệt 2 lầu 3PN 4WC Hẻm xe hơi,9.9,"Đường Âu Cơ, Phường 14, Quận Tân Bình, Hồ Chí Minh",62.0,3,4,3,Sổ hồng,2026-03-30,batdongsan
"Bán nhà vườn ngay trung tâm Quận 7, 11.5x18m, nhỉnh 8tỷ",8.1,"Phường Phú Thuận, Quận 7, Hồ Chí Minh",115.0,5,5,2,Sổ hồng,2026-03-27,batdongsan
"Bán nhà khu biệt thự Làng Hoa GV, DT: 5x17m, giá: 10.5 tỷ TL, nhà 4 tầng, LH0855 400 ***",10.5,"Đường Cây Trâm, Phường 9, Quận Gò Vấp, Hồ Chí Minh",85.0,4,4,4,Sổ hồng,2026-03-30,batdongsan
Nhà HXH Phân khúc 4-5 Tỷ - KDC Bông Sao P5 Quận 8 - Gần Mặt tiền - 2 Tầng 2PN - TÌM KHÔNG RA,4.3,"Đường Bông Sao, Phường 5, Quận 8, Hồ Chí Minh",35.0,2,2,2,Sổ hồng,2026-03-29,batdongsan
"Nhà đẹp Lê Hồng Phong - Kỳ Hòa 5x24m, nhà 5 lầu HDT 80tr/th vị trí đẹp giá 28.6 tỷ TL",28.6,"Đường Lê Hồng Phong, Phường 12, Quận 10, Hồ Chí Minh",121.0,6,8,5,Sổ hồng,2026-03-30,batdongsan
"Giảm 200 triệu, 4x16m, hẻm ô tô Nguyễn Văn Quá, chỉ 5,2 tỷ",5.2,"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",64.0,3,2,2,Sổ hồng,2026-03-30,batdongsan
