tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán Nhà riêng tạiQuan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",11,"Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",36,5,5,8,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiBạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",6.9,"Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",25,3,3,4,Sổ hồng,3/28/2026
"Bán Nhà riêng tạiquan nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",12,"quan nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",36,6,7,8,Sổ hồng,3/22/2026
"Bán Nhà riêng tạiĐường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",25,"Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",70,4,6,7,Sổ hồng,3/28/2026
"Bán Nhà riêng tạiVõ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",11.3,"Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",45,4,4,5,Sổ hồng,3/28/2026
"Bán Nhà mặt phố tạiLáng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",20,"Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",35,5,6,7,Sổ hồng,3/24/2026
"Bán Nhà riêng tạiVõ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",10.9,"Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",34,4,5,7,Sổ hồng,3/21/2026
"Bán Nhà mặt phố tạiHoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",36.95,"Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",55,6,5,9,Sổ hồng,2/27/2026
"Bán Nhà riêng tạiĐỗ Quang, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",22.8,"Đỗ Quang, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",38,4,5,5,Sổ hồng,3/28/2026
"Bán Nhà mặt phố tạiPhường Ngã Tư Sở, Quận Đống Đa, Hà Nội",21,"Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",43,5,5,5,Sổ hồng,3/28/2026
"Bán Nhà riêng tạiHoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",26.8,"Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",55,5,10,6,Sổ hồng,3/28/2026
"Bán Nhà riêng tạiPhường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội",12.3,"Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội",400,5,3,8,Sổ hồng,3/25/2026
"Bán Nhà riêng tạiNguyễn Quý Đức, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",9.8,"Nguyễn Quý Đức, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",40,4,3,6,Sổ hồng,3/27/2026
"Bán Nhà mặt phố tạimai dịch, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",29.3,"mai dịch, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",50,4,5,8,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiHào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",11.2,"Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",35,3,5,6,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiPhường Thượng Đình, Quận Thanh Xuân, Hà Nội",23.2,"Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",54,4,4,4,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiPhường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",38.9,"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",100,21,10,9,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiTRẦN BÌNH, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",10.6,"TRẦN BÌNH, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",35,3,5,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiPhường Khương Đình, Quận Thanh Xuân, Hà Nội",8.5,"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",35,4,3,6,Sổ hồng,3/27/2026
"Bán Nhà riêng tạihồ tùng mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",8.5,"hồ tùng mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",36,4,5,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiĐường Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",17.8,"Đường Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",96,4,4,4,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiKẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",12.9,"Kẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",60,2,2,2,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiVương thừa vũ, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",20.7,"Vương thừa vũ, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",50,3,6,7,Sổ hồng,3/27/2026
"Bán Nhà mặt phố tạiNguyễn Văn Hưởng, Phường Giang Biên, Quận Long Biên, Hà Nội",16.5,"Nguyễn Văn Hưởng, Phường Giang Biên, Quận Long Biên, Hà Nội",55,4,3,4,Sổ hồng,3/27/2026
"Bán Nhà mặt phố tạiĐường Linh Lang, Phường Liễu Giai, Quận Ba Đình, Hà Nội",48.8,"Đường Linh Lang, Phường Liễu Giai, Quận Ba Đình, Hà Nội",86,4,9,7,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiKẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",13.2,"Kẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",60,2,1,2,Sổ hồng,3/27/2026
"Bán Nhà riêng tạigiáp bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",15.5,"giáp bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",70,5,5,4,Sổ hồng,3/27/2026
"Bán Nhà biệt thự, liền kề tạiLÊ ĐỨC THỌ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",72,"LÊ ĐỨC THỌ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",105,7,7,8,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiThị trấn Chúc Sơn, Huyện Chương Mỹ, Hà Nội",4.38,"Thị trấn Chúc Sơn, Huyện Chương Mỹ, Hà Nội",35,3,4,5,Sổ hồng,3/27/2026
"Bán Nhà mặt phố tạiyên lãng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",240,"yên lãng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",406,12,10,10,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiĐường Ngọc Thụy, Phường Bồ Đề, Quận Long Biên, Hà Nội",33.9,"Đường Ngọc Thụy, Phường Bồ Đề, Quận Long Biên, Hà Nội",160,3,4,3,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiĐường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",12.8,"Đường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",42,10,10,7,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiThi Sách, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",12,"Thi Sách, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",40,4,4,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiYên hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",7.85,"Yên hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",30,3,4,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiKIM GIANG, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",13,"KIM GIANG, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",50,4,5,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiXã Phụng Châu, Huyện Chương Mỹ, Hà Nội",4.25,"Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội",56,4,3,4,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiĐường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",12.8,"Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",55,4,5,7,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiÔ Đồng Lầm, Phường Trung Phụng, Quận Đống Đa, Hà Nội",19,"Ô Đồng Lầm, Phường Trung Phụng, Quận Đống Đa, Hà Nội",60,6,4,5,Sổ hồng,3/27/2026
"Bán Nhà biệt thự, liền kề tạiNGUYỄN XIỂN, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",29.9,"NGUYỄN XIỂN, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",90,5,5,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiThanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",12.9,"Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",40,6,7,5,Sổ hồng,3/27/2026
"Bán Nhà mặt phố tạiHồng Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",17.9,"Hồng Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",60,3,3,3,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiVõ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",7.98,"Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",32,3,4,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiVõng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",26.2,"Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",80,7,7,6,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiTrung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",32.8,"Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",70,4,4,5,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiTôn Đức Thắng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",16,"Tôn Đức Thắng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",36,4,5,6,Sổ hồng,3/26/2026
"Bán Nhà riêng tạiMỹ đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",13.9,"Mỹ đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",43,4,5,6,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiNgõ 206, Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",19,"Ngõ 206, Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",55,3,4,7,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiQuan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",14.7,"Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",62,4,5,4,Sổ hồng,3/27/2026
"Bán Nhà riêng tạiTrung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",23.4,"Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",74,6,6,6,Sổ hồng,3/27/2026
