tieu_de,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang,source_site,dien_tich_log,quan,thanh_pho,gia,gia_log
"Bán Nhà riêng tạiĐường 442 Cạnh Toán VN Hoài Đức, Xã Đức Giang, Huyện Hoài Đức, Hà Nội","Đường 442 Cạnh Toán VN Hoài Đức, Xã Đức Giang, Huyện Hoài Đức, Hà Nội",104.0,4,2,6,Đã có sổ,2026-07-03,thuviennhadat,4.653960350157523,Huyện Hoài Đức,Hà Nội,16.0,2.833213344056216
"Nhà ngang 4m dài 17m hẻm 3m Đường Phạm Hùng, Quận 8","Đường Phạm Hùng, Phường 4, Quận 8, Hồ Chí Minh",75.0,2,2,2,Đã có sổ,2026-03-30,batdongsan,4.330733340286331,Quận 8,TP.HCM,7.5,2.1400661634962708
"Bán Nhà mặt phố tạiKIM ĐỒNG, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội","KIM ĐỒNG, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",70.0,4,6,7,Đã có sổ,2026-07-03,thuviennhadat,4.2626798770413155,Quận Hoàng Mai,Hà Nội,29.8,3.427514689979529
"Bán Nhà tái định cư tạitu hoàng, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội","tu hoàng, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",80.0,8,8,8,Đã có sổ,2025-10-09,thuviennhadat,4.394449154672439,Quận Nam Từ Liêm,Hà Nội,19.5,3.0204248861443626
"Tôi cần bán nhà Huyền Quang, Tân Định, Q1, gần chợ Tân Định, giá 4tỷ4 DT 70,4m2, cho thuê 40tr/th","Đường Huyền Quang, Phường Tân Định, Quận 1, Hồ Chí Minh",70.4,4,5,3,Đã có sổ,2026-03-30,batdongsan,4.268297869345539,Quận 1,TP.HCM,4.4,1.6863989535702288
"Nhà bán, hẻm 4m , Trần Bình Trọng , Q5, 48 m2, 2 tầng , gía 8,9 tỷ.","Đường Trần Bình Trọng, Phường 1, Quận 5, Hồ Chí Minh",48.0,3,2,2,Đã có sổ,2026-03-29,batdongsan,3.8918202981106265,Quận 5,TP.HCM,8.9,2.2925347571405443
"Bán Nhà riêng tạiPhường Định Công, Quận Hoàng Mai, Hà Nội","Phường Định Công, Quận Hoàng Mai, Hà Nội",25.0,3,3,4,Đã có sổ,2025-07-16,thuviennhadat,3.258096538021482,Quận Hoàng Mai,Hà Nội,4.45,1.6956156086751528
"Bán Nhà riêng tạiXã Phù Lỗ, Huyện Sóc Sơn, Hà Nội","Xã Phù Lỗ, Huyện Sóc Sơn, Hà Nội",80.0,3,2,8,Giấy tờ không xác định,2026-03-21,thuviennhadat,4.394449154672439,Quận/Huyện khác,Hà Nội,2.35,1.208960345836975
"Bán nhà HXH Tạ Quang Bửu Q8 116,5m2 1 trệt 3 lầu 5PN nở hậu SHR - giá tốt","Phố Tạ Quang Bửu, Phường 3, Quận 8, Hồ Chí Minh",116.5,5,3,4,Đã có sổ,2026-03-29,batdongsan,4.7664383335842135,Quận 8,TP.HCM,16.9,2.884800712846709
"Bán gấp nhà hẻm xe hơi Quận 10 - CN 76.8m2 (5 x 15m) sổ vuông, không QH - 4 tầng kiên cố ở ngay","Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",76.8,5,5,4,Đã có sổ,2026-03-22,batdongsan,4.354141431184346,Quận 10,TP.HCM,14.2,2.7212954278522306
"Nhà hẻm xe hơi ngủ trong nhà Phan Đăng Lưu, Q. PN. Cách mặt phố 4 căn. DT: 6x7m, 4 tầng BTCT","Phố Phan Đăng Lưu, Phường 5, Quận Phú Nhuận, Hồ Chí Minh",42.0,3,4,4,Đã có sổ,2026-03-30,batdongsan,3.7612001156935624,Quận Phú Nhuận,TP.HCM,7.85,2.180417459019838
"Bán Nhà biệt thự, liền kề tạiVương Thừa Vũ, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Vương Thừa Vũ, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",47.0,4,7,8,Đã có sổ,2025-12-24,thuviennhadat,3.871201010907891,Quận Thanh Xuân,Hà Nội,21.2,3.100092288878234
"Bán Nhà riêng tạiĐường Phạm Tuấn Tài, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","Đường Phạm Tuấn Tài, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",50.0,6,7,6,Đã có sổ,2026-03-23,thuviennhadat,3.9318256327243257,Quận Cầu Giấy,Hà Nội,21.0,3.091042453358316
"Cao lỗ ,quận 8, ô tô ngủ nhà, 4 tầng,4mx14m,chỉ 11t2","Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",64.0,5,3,4,Đã có sổ,2026-03-24,batdongsan,4.174387269895637,Quận 8,TP.HCM,12.2,2.580216829592325
"Gấp bán giảm sâu, bán gấp căn hộ dịch vụ Q7, HXH, DT:60.1m2 nhà 3T 6 phòng cho thuê 25tr, giá 6.2tỷ","Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",60.1,6,6,3,Đã có sổ,2026-03-28,batdongsan,4.11251186617755,Quận 7,TP.HCM,6.2,1.9740810260220096
"Bán Nhà riêng tạiĐường Phố Vọng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội","Đường Phố Vọng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",63.0,3,1,7,Đã có sổ,2025-10-26,thuviennhadat,4.1588830833596715,Quận Thanh Xuân,Hà Nội,10.8,2.468099531471619
"Bán nhà hẻm xe hơi cách Nguyễn Văn Linh Phường Tân Thuận Tây, Quận 7","Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",84.0,6,7,5,Đã có sổ,2026-03-29,batdongsan,4.442651256490317,Quận 7,TP.HCM,13.2,2.653241964607215
Nhà 4 tầng - sổ hồng riêng- hẻm xe hơi - giá nhỉnh 6 tỷ thương lượng chính chủ,"435.//, Đường Phạm Văn Chí, Phường 1, Quận 6, Hồ Chí Minh",36.0,4,3,4,Đã có sổ,2026-03-27,batdongsan,3.6109179126442243,Quận 6,TP.HCM,6.28,1.9851308622085946
"Bán Nhà Đường Lưu Đình Lễ An Khánh Quận 2, 10x18m 4 Tầng, GIá 37","Đường Lưu Đình Lễ, Phường An Khánh, Quận 2, Hồ Chí Minh",180.0,5,5,4,Đã có sổ,2026-03-23,batdongsan,5.198497031265826,Quận 2,TP.HCM,37.0,3.6375861597263857
Quận 7 - Gò Ô Môi - Hẻm Ô Tô - 5x12m - 3 Tầng,"Đường Gò Ô Môi, Phường Phú Thuận, Quận 7, Hồ Chí Minh",60.0,4,3,3,Đã có sổ,2026-03-28,batdongsan,4.110873864173311,Quận 7,TP.HCM,8.6,2.2617630984737906
"Bán nhà riêng đẹp tại Trường Chinh-Tân Bình - Giá 9.8 tỷ, DT 5x14 = 70m2, 4PN, 3WC","Đường Trường Chinh, Phường 14, Quận Tân Bình, Hồ Chí Minh",70.0,4,3,3,Đã có sổ,2026-03-23,batdongsan,4.2626798770413155,Quận Tân Bình,TP.HCM,9.8,2.379546134130174
"Bán Nhà riêng tạiYên Xá, Xã Tân Triều, Huyện Thanh Trì, Hà Nội","Yên Xá, Xã Tân Triều, Huyện Thanh Trì, Hà Nội",34.0,5,6,7,Đã có sổ,2025-03-12,thuviennhadat,3.5553480614894135,Huyện Thanh Trì,Hà Nội,9.8,2.379546134130174
"Bán Nhà mặt phố tạiĐường Bát Khối, Phường Bồ Đề, Quận Long Biên, Hà Nội","Đường Bát Khối, Phường Bồ Đề, Quận Long Biên, Hà Nội",90.0,4,5,8,Đã có sổ,2026-03-14,thuviennhadat,4.51085950651685,Quận Long Biên,Hà Nội,28.0,3.367295829986474
Chỉ 6.3 tỷ có ngay nhà đẹp ngay khu Tên Lửa - hẻm 6m xe hơi ngủ trong nhà 70m2 (4.5x17m) 2 tầng 3PN,"Đường Tỉnh Lộ 10, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh",70.0,3,2,2,Đã có sổ,2026-03-30,batdongsan,4.2626798770413155,Quận Bình Tân,TP.HCM,6.3,1.9878743481543455
Năm Châu - Tân Bình ~80m2 - 65tr/m2 - Hẻm thông - Nhà cũ - Cho thuê - Giá tốt - Thương lượng - Gấp,"Đường Năm Châu, Phường 11, Quận Tân Bình, Hồ Chí Minh",78.5,2,2,2,Đã có sổ,2026-03-31,batdongsan,4.375757021660286,Quận Tân Bình,TP.HCM,5.5,1.8718021769015913
"Quận 6 MT 12m lề 3m 4 tầng 5PN khép kín kinh doanh tốt bình phú 9,9 tỷ","Đường Số 72, Phường 10, Quận 6, Hồ Chí Minh",58.0,5,5,4,Đã có sổ,2026-03-27,batdongsan,4.07753744390572,Quận 6,TP.HCM,9.9,2.388762789235098
"Bán Nhà riêng tạiXã Di Trạch, Huyện Hoài Đức, Hà Nội","Xã Di Trạch, Huyện Hoài Đức, Hà Nội",36.0,4,4,5,Đã có sổ,2025-08-19,thuviennhadat,3.6109179126442243,Huyện Hoài Đức,Hà Nội,4.75,1.749199854809259
Nhà phố 3 lầu HXT 7m đường Nguyễn Trãi Quận 5 (6.5 x 21m) GPXD mới: 7 lầu. Giá bán: 24.5 tỷ,"Đường Nguyễn Trãi, Phường 3, Quận 5, Hồ Chí Minh",131.0,6,5,3,Đã có sổ,2026-03-20,batdongsan,4.882801922586371,Quận 5,TP.HCM,24.5,3.2386784521643803
"Bán Nhà riêng tạiPhố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội","Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",17.0,2,2,5,Giấy tờ không xác định,2025-11-10,thuviennhadat,2.8903717578961645,Quận Hoàng Mai,Hà Nội,1.6,0.9555114450274363
"Bán Nhà riêng tạiĐặng Tiến Đông, Phường Trung Liệt, Quận Đống Đa, Hà Nội","Đặng Tiến Đông, Phường Trung Liệt, Quận Đống Đa, Hà Nội",50.0,4,3,7,Đã có sổ,2026-03-25,thuviennhadat,3.9318256327243257,Quận Đống Đa,Hà Nội,16.6,2.8678989020441064
"NHÀ MỚI ĐẸP , NGAY CẦU CHỮ Y - HƯNG PHÚ P8Q8","Đường Hưng Phú, Phường 8, Quận 8, Hồ Chí Minh",35.0,3,2,2,Đã có sổ,2026-03-19,batdongsan,3.58351893845611,Quận 8,TP.HCM,4.48,1.7011051009599243
"Bán Nhà riêng tạiĐường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội","Đường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội",51.0,4,4,5,Đã có sổ,2025-10-27,thuviennhadat,3.9512437185814275,Quận Hà Đông,Hà Nội,7.7,2.163323025660538
"Nhà đẹp an cư Nguyễn Đình Chiểu, trung tâm Quận 3 - 4 tầng, 3PN, nở hậu, full nội thất, giá 8,68 tỷ","Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Hồ Chí Minh",32.7,3,4,4,Đã có sổ,2026-03-23,batdongsan,3.517497837358316,Quận 3,TP.HCM,8.68,2.2700619012884857
"Bán Nhà riêng tạiVương Thừa Vũ, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Vương Thừa Vũ, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",45.0,3,4,7,Đã có sổ,2025-09-16,thuviennhadat,3.828641396489095,Quận Thanh Xuân,Hà Nội,15.0,2.772588722239781
"MUA LÀ THẮNG! SIÊU PHẨM HẺM XE HƠI ĐƯỜNG 3/2 QUẬN 10 - 4 TẦNG - 50M2. GIÁ 12,5 TỶ.","Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",50.0,7,7,4,Đã có sổ,2026-03-27,batdongsan,3.9318256327243257,Quận 10,TP.HCM,12.5,2.6026896854443837
"BÁN NHÀ HẺM 2,5M 202// LÝ THƯỜNG KIỆT, Q.10 14m2 3pn 2wc 2 tỷ 99 TL","202//, Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",14.5,2,3,2,Đã có sổ,2026-03-27,batdongsan,2.740840023925201,Quận 10,TP.HCM,2.99,1.3837912309017721
Bán nhà Nhà CHDV - Nguyễn Thượng Hiền - Phú Nhuận - 97m2- 5 Tầng,"Đường Nguyễn Thượng Hiền, Phường 5, Quận Phú Nhuận, Hồ Chí Minh",97.0,8,8,4,Đã có sổ,2026-03-20,batdongsan,4.584967478670572,Quận Phú Nhuận,TP.HCM,14.0,2.70805020110221
Nhà mới 1 Lửng- Lầu Ba đình 2 PN Sổ hồng hiện hữu,"Đường Ba Đình, Phường 8, Quận 8, Hồ Chí Minh",30.0,2,2,3,Đã có sổ,2026-03-24,batdongsan,3.4339872044851463,Quận 8,TP.HCM,3.98,1.6054298910365616
"Nhà bán giá cực tốt, 8m thông tứ tung, 4 tầng kiên cố,8m x 18m (145m2) hương lộ 2, bình tân","Đường Hương lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",145.0,10,6,4,Đã có sổ,2026-03-20,batdongsan,4.983606621708336,Quận Bình Tân,TP.HCM,12.6,2.6100697927420065
Căn góc - ngang 6m hiếm - ĐS Lê Đức Thọ - sát chợ xóm mới - full nội thất - giá 4.599 tỷ TL,"Đường Số 2, Phường 16, Quận Gò Vấp, Hồ Chí Minh",38.0,3,3,3,Đã có sổ,2026-03-30,batdongsan,3.6635616461296463,Quận Gò Vấp,TP.HCM,4.6,1.7227665977411035
Ngay ngã tư Phú Nhuận 40m2 vài bước ra HXH 4 tầng có thể cải tạo thành 7PN dòng tiền 35 - 40tr/th,"Đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận, Hồ Chí Minh",48.0,4,4,4,Đã có sổ,2026-03-27,batdongsan,3.8918202981106265,Quận Phú Nhuận,TP.HCM,6.8,2.0541237336955462
"Q1, 70m ra MT Võ Thị Sáu, KQH, nhà mới ở ngay 3 tầng BTCT, gần 45 m2 chỉ 8 tỷ hơn","Đường Võ Thị Sáu, Phường Đa Kao, Quận 1, Hồ Chí Minh",43.3,3,4,3,Đã có sổ,2026-03-18,batdongsan,3.7909846770510898,Quận 1,TP.HCM,8.35,2.2353763433005955
"Bán Nhà riêng tạiLê Lợi, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội","Lê Lợi, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",34.0,2,2,5,Đã có sổ,2025-10-22,thuviennhadat,3.5553480614894135,Quận Hà Đông,Hà Nội,6.1,1.9600947840472698
"(4,68 Tỷ TL) Nhà Gần Sát Mặt Tiền, 31M, 2 Tầng ..!","Đường Vĩnh Viễn, Phường 4, Quận 10, Hồ Chí Minh",31.0,1,2,2,Đã có sổ,2026-03-30,batdongsan,3.4657359027997265,Quận 10,TP.HCM,4.68,1.7369512327330598
