tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán nhà riêng hẻm xe hơi Trần xuân Soạn, Q7, 71,3m2 - 3 tầng, 10,7 tỷ còn trao đổi","10,7 tỷ","Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh","71,3 m²",7 phòng,N/A,3 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
"Cc bán nhà hẻm 97/ Phan Đăng Lưu Quận Phú Nhuận dt 6 x 8m dtcn 44,5m2 k/c trệt 2 lầu st giá 9 tỷ",9 tỷ,"Phố Phan Đăng Lưu, Phường 7, Quận Phú Nhuận, Hồ Chí Minh","44,5 m²",4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,26/03/2026
Hàng mới Cát Lái - nhà mới keng 4 tầng - Q2 cũ - TP. HCM - LH0901 392 ***,"8,5 tỷ","Đường 28, Phường Cát Lái, Quận 2, Hồ Chí Minh",73 m²,4 phòng,5 phòng,3 tầng,N/A,21/03/2026
Gia đình về Phú Quốc sinh sống cần bán nhà HXH đường Lý Thường Kiệt P14 Quận 10 diện tích: 5m x 20m,13 tỷ,"Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",100 m²,5 phòng,N/A,4 tầng,N/A,21/03/2026
"CÔ HOA CẦN BÁN NHÀ ĐƯỜNG LÊ HỒNG PHONG - Q10 - GIÁ: 6,77 TỶ/77,4M - THUÊ 26TR - GẦN VẠN HẠNH MALL","6,77 tỷ","Đường Lê Hồng Phong, Phường 10, Quận 10, Hồ Chí Minh","77,4 m²",4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
56M (4x15). 3 TẦNG 2PN. 5.6T - GẦN CHỢ & TRƯỜNG HỌC - HOÀN CÔNG ĐỦ,"5,59 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",56 m²,3 phòng,2 phòng,3 tầng,Sổ đỏ/ Sổ hồng,20/03/2026
"Nhà nên mua gấp, chỉ nhỉnh 5tỷ, DT 55m2, sát hẻm xe hơi, ngay UB Phường 12, Bình Thạnh","5,5 tỷ","Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh",55 m²,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,27/03/2026
"(7,8 Tỷ TL) NHÀ 3 TẦNG, 1 SẸC, GẦN SÁT MẶT TIỀN BÙI THỊ XUÂN..!","7,8 tỷ","Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",31 m²,2 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
Bán nhà Tân Chánh Hiệp 7 Q12 - 5x15 - gần Nguyễn Thị Búp - 4 phòng cho thuê - giá 4 tỷ,4 tỷ,"Đường Tân Chánh Hiệp 7, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",75 m²,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,27/03/2026
[QUẬN 10] NHÀ 5 TẦNG HẺM XE HƠI CMT8 - 41M2 - GIÁ 8.2 TỶ,"8,2 tỷ","Đường Cách Mạng Tháng Tám, Phường 12, Quận 10, Hồ Chí Minh",41 m²,N/A,N/A,5 tầng,N/A,30/03/2026
"NHÀ ĐẸP TÂN BÌNH-GẦN NHÀ GA T3-KHU VỰC HIẾM NHÀ BÁN 97M2-GIÁ14,5TỶ","14,5 tỷ","Đường Bàu Bàng, Phường 13, Quận Tân Bình, Hồ Chí Minh",97 m²,5 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Nhà phố 1/ Đông Bắc, hẻm 5m thông xe hơi, vị trí đẹp gần Gò Vấp. Vừa ở vừa kinh doanh cực hợp","5,6 tỷ","1/ , Đường Đông Bắc, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",54 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,28/03/2026
14tỷ2 thương lượng nhà mặt tiền nội bộ khu dân cư Cao Lỗ P4 Q8,"14,2 tỷ","Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",80 m²,6 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,18/03/2026
Nhà đẹp sát mặt tiền Âu Cơ - 4X15m 1 trệt 2 lầu 3PN 4WC Hẻm xe hơi,"9,9 tỷ","Đường Âu Cơ, Phường 14, Quận Tân Bình, Hồ Chí Minh",62 m²,3 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
"Bán gấp Kiều Đàm phường Tân Hưng Q7 - 5,5m x 19m + GPXD 6 tầng - giá 12,8 tỷ","12,8 tỷ","Phường Tân Hưng, Quận 7, Hồ Chí Minh","104,5 m²",N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,29/03/2026
"Bán nhà vườn ngay trung tâm Quận 7, 11.5x18m, nhỉnh 8tỷ","8,1 tỷ","Phường Phú Thuận, Quận 7, Hồ Chí Minh",115 m²,5 phòng,5 phòng,2 tầng,Sổ đỏ/ Sổ hồng,27/03/2026
"Bán nhà khu biệt thự Làng Hoa GV, DT: 5x17m, giá: 10.5 tỷ TL, nhà 4 tầng, LH0855 400 ***","10,5 tỷ","Đường Cây Trâm, Phường 9, Quận Gò Vấp, Hồ Chí Minh",85 m²,4 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,30/03/2026
Nhà HXH Phân khúc 4-5 Tỷ - KDC Bông Sao P5 Quận 8 - Gần Mặt tiền - 2 Tầng 2PN - TÌM KHÔNG RA,"4,3 tỷ","Đường Bông Sao, Phường 5, Quận 8, Hồ Chí Minh",35 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,29/03/2026
