tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán  Nhà riêng tạiQuan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",11 tỷ,"Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",36 m²,5,5,8,Sổ đỏ / Sổ hồng,27/03/202609:44
"Bán  Nhà biệt thự, liền kề tạiLinh đàm, Phường Định Công, Quận Hoàng Mai, Hà Nội",74 tỷ,"Linh đàm, Phường Định Công, Quận Hoàng Mai, Hà Nội",210 m²,,,10,Sổ đỏ / Sổ hồng,21/03/202618:27
"Bán  Nhà riêng tạiBạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội","6,90 tỷ","Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",25 m²,3,3,4,Sổ đỏ / Sổ hồng,28/03/202610:14
"Bán  Nhà riêng tạiĐường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội","19,80 tỷ","Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",92 m²,,,2,Sổ đỏ / Sổ hồng,28/03/202610:48
"Bán  Nhà riêng tạiquan nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",12 tỷ,"quan nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",36 m²,6,7,8,Sổ đỏ / Sổ hồng,22/03/202617:18
"Bán  Nhà riêng tạiĐường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",25 tỷ,"Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",70 m²,4,6,7,Sổ đỏ / Sổ hồng,28/03/202611:45
"Bán  Nhà riêng tạiVõ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","11,30 tỷ","Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",45 m²,4,4,5,Sổ đỏ / Sổ hồng,28/03/202610:14
"Bán  Nhà riêng tạiPhường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","10,90 tỷ","Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",40 m²,3,,7,Sổ đỏ / Sổ hồng,28/03/202612:56
"Bán  Nhà riêng tạiPhường Phúc Lợi, Quận Long Biên, Hà Nội","9,75 tỷ","Phường Phúc Lợi, Quận Long Biên, Hà Nội",44 m²,,,6,Sổ đỏ / Sổ hồng,28/03/202613:05
"Bán  Nhà mặt phố tạiLáng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",20 tỷ,"Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",35 m²,5,6,7,Sổ đỏ / Sổ hồng,24/03/202612:20
